NotaAdmissao,NecessidadesEspeciais,Devedor,MensalidadesEmDia,Bolsista,International,UnidadesCurriculares1SemestreCreditado,UnidadesCurriculares1SemestreInscrito,UnidadesCurriculares1SemestreAvaliacoes,UnidadesCurriculares1SemestreAprovado,UnidadesCurriculares1SemestreGrau,UnidadesCurriculares1SemestreSemAvaliacoes,UnidadesCurriculares2SemestreCreditado,UnidadesCurriculares2SemestreInscrito,UnidadesCurriculares2SemestreAvaliacoes,UnidadesCurriculares2SemestreAprovado,UnidadesCurriculares2SemestreGrau,UnidadesCurriculares2SemestreSemAvaliacoes,TaxaDesemprego,TaxaInflacao,PIB,EstadoCivil_Divorciado,EstadoCivil_Separado Judicialmente,EstadoCivil_Solteiro,EstadoCivil_União de Fato,EstadoCivil_Viúvo,Curso_Design de Animação e Multimédia,Curso_Design de Comunicação,Curso_Enfermagem,Curso_Enfermagem Veterinária,Curso_Engenharia Informática,Curso_Ensino Básico,Curso_Equincultura,Curso_Gestão,Curso_Gestão (presencial noturno),Curso_Gestão de Publicidade e Marketing,Curso_Higiene Oral,Curso_Jornalismo e Comunicação,Curso_Serviço Social,Curso_Serviço Social (prestação nocturna),Curso_Tecnologias de Produção de Biocombustíveis,Curso_Turismo,Nacionalidade_Angolano,Nacionalidade_Brasileiro,Nacionalidade_Cabo-verdiano,Nacionalidade_Colombiano,Nacionalidade_Espanhol,Nacionalidade_Guineense,Nacionalidade_Holandês,Nacionalidade_Inglês,Nacionalidade_Italiano,Nacionalidade_Lituano,Nacionalidade_Mexicano,Nacionalidade_Moldávia (República da),Nacionalidade_Moçambicano,Nacionalidade_Português,Nacionalidade_Romeno,Nacionalidade_Russo,Nacionalidade_Santomense,Nacionalidade_Ucraniano,Genero_Masculino,QualificacaoAgrupada_Outros
95.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,11.1,0.6,2.02,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
124.3,0.0,0.0,1.0,1.0,0.0,0.0,7.0,9.0,7.0,133125.0,0.0,0.0,8.0,8.0,8.0,156375.0,0.0,13.9,-0.3,0.79,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
130.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,9.0,6.0,1.21667e+16,0.0,0.0,6.0,14.0,4.0,13.0,0.0,12.4,0.5,1.79,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
106.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,7.0,6.0,1.25714e+16,0.0,0.0,6.0,7.0,6.0,1.32857e+16,0.0,12.4,0.5,1.79,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
126.3,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,7.0,1.33286e+16,0.0,0.0,8.0,8.0,7.0,1.33286e+16,0.0,12.7,3.7,-1.7,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
121.3,0.0,0.0,1.0,0.0,0.0,7.0,11.0,13.0,11.0,1.34545e+16,0.0,5.0,11.0,13.0,7.0,1.24286e+16,0.0,12.7,3.7,-1.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
150.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,8.0,6.0,13.0,0.0,0.0,6.0,10.0,6.0,12625.0,0.0,15.5,2.8,-4.06,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
144.0,0.0,0.0,1.0,0.0,0.0,13.0,18.0,20.0,18.0,1.54444e+16,0.0,11.0,13.0,13.0,13.0,1.53077e+16,0.0,15.5,2.8,-4.06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
113.9,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,1.11667e+16,0.0,0.0,6.0,6.0,6.0,1.21667e+16,0.0,7.6,2.6,0.32,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
141.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,11.0,5.0,11.2,0.0,0.0,6.0,7.0,6.0,12.0,0.0,9.4,-0.8,-3.12,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
166.6,0.0,1.0,0.0,1.0,0.0,2.0,5.0,8.0,5.0,14.4,1.0,0.0,5.0,6.0,5.0,14.0,0.0,12.7,3.7,-1.7,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
133.2,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,1.41667e+16,0.0,0.0,6.0,7.0,6.0,1.36667e+16,0.0,7.6,2.6,0.32,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
120.7,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,6.0,1.16667e+16,0.0,0.0,6.0,10.0,4.0,11.5,0.0,13.9,-0.3,0.79,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
114.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,10.0,5.0,1.18571e+16,0.0,0.0,5.0,17.0,5.0,11.5,5.0,16.2,0.3,-0.92,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
121.7,0.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,5.0,11.0,0.0,0.0,5.0,6.0,5.0,15.4,0.0,12.4,0.5,1.79,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
120.4,0.0,1.0,0.0,0.0,0.0,14.0,15.0,17.0,14.0,1.02143e+16,0.0,13.0,13.0,13.0,13.0,1.13846e+16,0.0,16.2,0.3,-0.92,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
133.3,0.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,6.0,1.19667e+16,0.0,0.0,7.0,7.0,6.0,1.19667e+16,0.0,7.6,2.6,0.32,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
120.3,0.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,1.36667e+16,0.0,0.0,6.0,6.0,6.0,1.33333e+16,0.0,8.9,1.4,3.51,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
112.9,0.0,0.0,1.0,1.0,0.0,0.0,6.0,7.0,6.0,1.18571e+16,0.0,0.0,6.0,8.0,6.0,1.31429e+16,0.0,12.4,0.5,1.79,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
126.5,0.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,6.0,1.24286e+16,0.0,0.0,6.0,6.0,6.0,1.28333e+16,0.0,7.6,2.6,0.32,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
150.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,8.0,6.0,18875.0,0.0,6.0,12.0,14.0,12.0,1.76923e+16,0.0,16.2,0.3,-0.92,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
117.1,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,7.0,1.45729e+16,0.0,0.0,8.0,9.0,8.0,1.49556e+16,0.0,12.4,0.5,1.79,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
132.8,0.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,12.4,0.5,1.79,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
157.5,0.0,0.0,1.0,0.0,0.0,0.0,6.0,8.0,6.0,1.31667e+16,0.0,0.0,6.0,7.0,6.0,1.31667e+16,0.0,10.8,1.4,1.74,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
133.2,0.0,0.0,1.0,1.0,0.0,0.0,5.0,11.0,4.0,14.25,0.0,0.0,5.0,7.0,4.0,12.5,0.0,12.7,3.7,-1.7,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
135.8,0.0,0.0,1.0,0.0,0.0,14.0,15.0,16.0,15.0,10.8,0.0,13.0,14.0,14.0,14.0,1.13571e+16,0.0,9.4,-0.8,-3.12,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
150.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,15.0,3.0,13.0,2.0,1.0,5.0,12.0,5.0,1.32857e+16,1.0,10.8,1.4,1.74,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
128.8,0.0,0.0,1.0,1.0,0.0,0.0,7.0,11.0,6.0,1.19944e+16,0.0,0.0,8.0,11.0,7.0,1243140000000000.0,0.0,15.5,2.8,-4.06,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
128.5,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,7.0,1.48686e+16,0.0,0.0,8.0,9.0,8.0,1511110000000000.0,0.0,11.1,0.6,2.02,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
119.2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.5,0.0,8.9,1.4,3.51,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
138.1,0.0,0.0,1.0,0.0,0.0,0.0,6.0,8.0,6.0,12.0,0.0,0.0,6.0,10.0,4.0,11.5,0.0,7.6,2.6,0.32,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
119.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
163.3,0.0,0.0,1.0,0.0,1.0,0.0,6.0,10.0,6.0,13.5,0.0,0.0,6.0,12.0,6.0,12.0,0.0,12.4,0.5,1.79,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
140.2,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
140.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,13.8,0.0,0.0,5.0,7.0,5.0,1.41429e+16,0.0,11.1,0.6,2.02,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
128.8,0.0,0.0,1.0,0.0,0.0,0.0,5.0,10.0,5.0,13375.0,0.0,0.0,5.0,9.0,5.0,1.41667e+16,0.0,13.9,-0.3,0.79,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
106.1,0.0,0.0,1.0,0.0,0.0,0.0,5.0,13.0,2.0,10.0,1.0,0.0,5.0,10.0,0.0,0.0,0.0,9.4,-0.8,-3.12,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
137.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.6,2.6,0.32,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
133.1,0.0,0.0,1.0,1.0,0.0,0.0,6.0,9.0,4.0,13.0,0.0,0.0,6.0,13.0,4.0,11.25,0.0,10.8,1.4,1.74,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
136.5,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,7.0,1.48386e+16,0.0,0.0,8.0,9.0,8.0,14.8,0.0,12.4,0.5,1.79,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
114.5,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,5.0,13.0,1.0,0.0,5.0,9.0,4.0,13.25,0.0,12.7,3.7,-1.7,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
119.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,1.21667e+16,0.0,0.0,6.0,7.0,6.0,1.21429e+16,0.0,15.5,2.8,-4.06,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
176.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.5,1.79,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
171.2,0.0,0.0,1.0,1.0,0.0,0.0,5.0,6.0,5.0,1.73333e+16,0.0,0.0,5.0,8.0,5.0,1.85714e+16,0.0,12.4,0.5,1.79,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
120.0,0.0,0.0,1.0,0.0,0.0,9.0,15.0,21.0,13.0,1.26923e+16,0.0,12.0,15.0,22.0,13.0,1.23846e+16,0.0,10.8,1.4,1.74,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
122.3,0.0,0.0,1.0,0.0,0.0,0.0,6.0,9.0,5.0,13.6,0.0,0.0,6.0,8.0,5.0,12.0,0.0,12.7,3.7,-1.7,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170.0,0.0,0.0,1.0,0.0,0.0,7.0,11.0,13.0,11.0,1.56923e+16,0.0,4.0,9.0,9.0,9.0,1.55556e+16,0.0,8.9,1.4,3.51,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
116.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,6.0,1.27143e+16,0.0,0.0,6.0,6.0,6.0,1.18333e+16,0.0,8.9,1.4,3.51,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
123.3,0.0,0.0,1.0,1.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.6,2.6,0.32,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
150.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,10.0,3.0,1.26667e+16,0.0,0.0,6.0,7.0,0.0,0.0,0.0,15.5,2.8,-4.06,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
113.3,0.0,0.0,1.0,0.0,0.0,0.0,6.0,9.0,1.0,10.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,12.4,0.5,1.79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
